id,follower_id,followed_id,created_at,updated_at
394,79,147,2012-10-25 05:03:30.984085,2012-10-25 05:03:30.984085
395,79,152,2012-10-25 05:03:31.495621,2012-10-25 05:03:31.495621
396,79,145,2012-10-25 05:03:31.51663,2012-10-25 05:03:31.51663
397,79,144,2012-10-25 05:03:31.549343,2012-10-25 05:03:31.549343
398,79,104,2012-10-25 05:03:31.998978,2012-10-25 05:03:31.998978
399,79,151,2012-10-25 05:03:32.691714,2012-10-25 05:03:32.691714
400,79,142,2012-10-25 05:03:35.587575,2012-10-25 05:03:35.587575
401,79,133,2012-10-25 05:03:38.261569,2012-10-25 05:03:38.261569
402,79,124,2012-10-25 05:03:40.42746,2012-10-25 05:03:40.42746
403,79,121,2012-10-25 05:03:40.905618,2012-10-25 05:03:40.905618
404,79,140,2012-10-25 05:03:41.480689,2012-10-25 05:03:41.480689
405,79,138,2012-10-25 05:03:42.065065,2012-10-25 05:03:42.065065
406,79,139,2012-10-25 05:03:42.576566,2012-10-25 05:03:42.576566
407,79,129,2012-10-25 05:03:43.103282,2012-10-25 05:03:43.103282
408,79,135,2012-10-25 05:03:44.456716,2012-10-25 05:03:44.456716
409,79,134,2012-10-25 05:03:44.981948,2012-10-25 05:03:44.981948
410,79,131,2012-10-25 05:03:45.455743,2012-10-25 05:03:45.455743
411,79,125,2012-10-25 05:03:45.958226,2012-10-25 05:03:45.958226
412,79,130,2012-10-25 05:03:46.569954,2012-10-25 05:03:46.569954
413,79,137,2012-10-25 05:03:47.360692,2012-10-25 05:03:47.360692
414,79,122,2012-10-25 05:03:47.8871,2012-10-25 05:03:47.8871
415,79,127,2012-10-25 05:03:49.288263,2012-10-25 05:03:49.288263
416,79,132,2012-10-25 05:03:51.22219,2012-10-25 05:03:51.22219
417,79,119,2012-10-25 05:03:51.64402,2012-10-25 05:03:51.64402
418,79,126,2012-10-25 05:03:52.16301,2012-10-25 05:03:52.16301
419,79,115,2012-10-25 05:03:52.607184,2012-10-25 05:03:52.607184
420,79,113,2012-10-25 05:03:53.323917,2012-10-25 05:03:53.323917
421,79,110,2012-10-25 05:03:53.908103,2012-10-25 05:03:53.908103
422,79,109,2012-10-25 05:03:54.43473,2012-10-25 05:03:54.43473
423,79,106,2012-10-25 05:03:54.961132,2012-10-25 05:03:54.961132
424,79,107,2012-10-25 05:03:55.490973,2012-10-25 05:03:55.490973
425,79,102,2012-10-25 05:03:55.613179,2012-10-25 05:03:55.613179
426,79,97,2012-10-25 05:03:56.885148,2012-10-25 05:03:56.885148
427,79,105,2012-10-25 05:03:57.407285,2012-10-25 05:03:57.407285
428,79,100,2012-10-25 05:03:57.884664,2012-10-25 05:03:57.884664
429,79,94,2012-10-25 05:03:59.56493,2012-10-25 05:03:59.56493
430,79,93,2012-10-25 05:04:00.046513,2012-10-25 05:04:00.046513
431,79,92,2012-10-25 05:04:00.617098,2012-10-25 05:04:00.617098
432,79,89,2012-10-25 05:04:01.058381,2012-10-25 05:04:01.058381
433,79,87,2012-10-25 05:04:01.606882,2012-10-25 05:04:01.606882
434,79,85,2012-10-25 05:04:02.173259,2012-10-25 05:04:02.173259
435,79,116,2012-10-25 05:04:23.912072,2012-10-25 05:04:23.912072
436,79,90,2012-10-25 05:04:24.903205,2012-10-25 05:04:24.903205
437,79,153,2012-10-25 05:04:30.795093,2012-10-25 05:04:30.795093
438,79,117,2012-10-25 05:04:33.685156,2012-10-25 05:04:33.685156
439,79,112,2012-10-25 05:04:34.118157,2012-10-25 05:04:34.118157
440,79,98,2012-10-25 05:04:34.773443,2012-10-25 05:04:34.773443
441,79,91,2012-10-25 05:04:35.214344,2012-10-25 05:04:35.214344
442,79,141,2012-10-25 05:04:44.760324,2012-10-25 05:04:44.760324
443,79,111,2012-10-25 05:04:45.885262,2012-10-25 05:04:45.885262
444,79,88,2012-10-25 05:04:47.5111,2012-10-25 05:04:47.5111
445,79,86,2012-10-25 05:04:48.024057,2012-10-25 05:04:48.024057
446,79,99,2012-10-25 05:04:58.99068,2012-10-25 05:04:58.99068
447,79,108,2012-10-25 05:04:59.61732,2012-10-25 05:04:59.61732
448,79,95,2012-10-25 05:05:00.469599,2012-10-25 05:05:00.469599
449,79,96,2012-10-25 05:05:01.139737,2012-10-25 05:05:01.139737
450,79,101,2012-10-25 05:05:01.837338,2012-10-25 05:05:01.837338
451,79,120,2012-10-25 05:05:03.694499,2012-10-25 05:05:03.694499
452,79,123,2012-10-25 05:05:04.33874,2012-10-25 05:05:04.33874
453,79,128,2012-10-25 05:05:04.963125,2012-10-25 05:05:04.963125
454,79,118,2012-10-25 05:05:06.340539,2012-10-25 05:05:06.340539
455,79,146,2012-10-25 05:05:09.709696,2012-10-25 05:05:09.709696
456,79,103,2012-10-25 05:05:16.693451,2012-10-25 05:05:16.693451
457,79,114,2012-10-25 05:05:27.566191,2012-10-25 05:05:27.566191
458,118,79,2012-10-25 05:08:51.97425,2012-10-25 05:08:51.97425
459,150,79,2012-10-25 05:11:56.838847,2012-10-25 05:11:56.838847
460,121,79,2012-10-25 06:16:53.516253,2012-10-25 06:16:53.516253
461,8,28,2012-10-25 07:45:53.396034,2012-10-25 07:45:53.396034
462,8,31,2012-10-25 07:45:58.251514,2012-10-25 07:45:58.251514
463,8,49,2012-10-25 07:46:12.629593,2012-10-25 07:46:12.629593
464,8,24,2012-10-25 07:46:40.903758,2012-10-25 07:46:40.903758
465,8,128,2012-10-25 07:47:20.568465,2012-10-25 07:47:20.568465
467,5,166,2012-10-25 15:34:04.154583,2012-10-25 15:34:04.154583
468,94,79,2012-10-25 17:30:46.4967,2012-10-25 17:30:46.4967
469,79,157,2012-10-25 19:19:08.22961,2012-10-25 19:19:08.22961
470,124,79,2012-10-25 20:41:36.77932,2012-10-25 20:41:36.77932
471,122,79,2012-10-25 21:28:59.346481,2012-10-25 21:28:59.346481
472,183,5,2012-10-25 22:14:35.906239,2012-10-25 22:14:35.906239
473,183,24,2012-10-25 22:15:03.539218,2012-10-25 22:15:03.539218
474,6,81,2012-10-25 23:43:27.19371,2012-10-25 23:43:27.19371
475,6,166,2012-10-25 23:43:29.017579,2012-10-25 23:43:29.017579
476,6,183,2012-10-25 23:43:34.881891,2012-10-25 23:43:34.881891
477,183,6,2012-10-26 00:01:48.64459,2012-10-26 00:01:48.64459
478,5,183,2012-10-26 01:11:10.25816,2012-10-26 01:11:10.25816
479,5,180,2012-10-26 01:15:02.351177,2012-10-26 01:15:02.351177
480,5,157,2012-10-26 01:15:56.279601,2012-10-26 01:15:56.279601
482,79,172,2012-10-26 03:27:17.540422,2012-10-26 03:27:17.540422
484,122,50,2012-10-26 03:37:54.935049,2012-10-26 03:37:54.935049
485,186,183,2012-10-26 03:43:04.327003,2012-10-26 03:43:04.327003
486,79,165,2012-10-26 05:28:35.336011,2012-10-26 05:28:35.336011
487,5,165,2012-10-26 06:15:59.660464,2012-10-26 06:15:59.660464
488,5,94,2012-10-26 06:16:01.012962,2012-10-26 06:16:01.012962
489,94,5,2012-10-26 06:16:43.151955,2012-10-26 06:16:43.151955
491,79,189,2012-10-26 06:37:13.158205,2012-10-26 06:37:13.158205
492,5,15,2012-10-26 06:44:19.720703,2012-10-26 06:44:19.720703
493,189,79,2012-10-26 06:44:41.639496,2012-10-26 06:44:41.639496
494,5,190,2012-10-26 06:45:11.89628,2012-10-26 06:45:11.89628
496,190,6,2012-10-26 06:45:59.111584,2012-10-26 06:45:59.111584
497,190,5,2012-10-26 06:47:05.497683,2012-10-26 06:47:05.497683
498,6,190,2012-10-26 06:48:46.540365,2012-10-26 06:48:46.540365
499,5,189,2012-10-26 07:11:08.270617,2012-10-26 07:11:08.270617
500,124,10,2012-10-26 15:58:14.85385,2012-10-26 15:58:14.85385
501,5,197,2012-10-26 16:29:28.439122,2012-10-26 16:29:28.439122
502,5,195,2012-10-26 16:29:30.427723,2012-10-26 16:29:30.427723
503,201,5,2012-10-26 17:34:13.135963,2012-10-26 17:34:13.135963
504,6,195,2012-10-26 19:31:11.23371,2012-10-26 19:31:11.23371
505,6,197,2012-10-26 19:31:12.313209,2012-10-26 19:31:12.313209
506,5,203,2012-10-26 19:31:35.168653,2012-10-26 19:31:35.168653
507,6,189,2012-10-26 19:32:45.399467,2012-10-26 19:32:45.399467
508,6,165,2012-10-26 19:35:52.83077,2012-10-26 19:35:52.83077
509,6,94,2012-10-26 19:35:54.219591,2012-10-26 19:35:54.219591
510,197,6,2012-10-26 19:48:33.06746,2012-10-26 19:48:33.06746
511,183,79,2012-10-26 21:07:24.696208,2012-10-26 21:07:24.696208
